Date,Tm,X,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Player,RSorPO
1999-02-07,LAL,Home,UTA,L,1,41:00,7,12,0.58,0,1,0,2,2,1,2,10,12,3,0,2,5,6,16,10.9,Kobe Bryant,Regular Season
1999-02-08,LAL,Away,SAS,W,1,41:00,8,19,0.42,1,4,0.25,2,2,1,2,8,10,2,2,2,4,5,19,11.5,Kobe Bryant,Regular Season
1999-02-10,LAL,Away,DEN,W,1,38:00,8,15,0.53,1,2,0.5,4,5,0.8,1,9,10,5,1,0,3,5,21,16.2,Kobe Bryant,Regular Season
1999-02-11,LAL,Away,MIN,L,1,38:00,8,21,0.38,0,3,0,8,9,0.89,2,8,10,2,2,1,1,1,24,18.6,Kobe Bryant,Regular Season
1999-02-14,LAL,Home,IND,L,1,35:00,6,12,0.5,1,4,0.25,5,6,0.83,0,2,2,0,2,2,3,5,18,10.6,Kobe Bryant,Regular Season
1999-02-21,LAL,Away,SEA,L,1,40:00,8,20,0.4,1,6,0.17,6,6,1,4,9,13,2,1,0,4,5,23,14.1,Kobe Bryant,Regular Season
1999-02-22,LAL,Away,DEN,L,1,46:00,8,15,0.53,1,3,0.33,9,11,0.82,1,12,13,9,1,0,4,4,26,23.9,Kobe Bryant,Regular Season
1999-02-23,LAL,Away,VAN,L,1,35:00,5,21,0.24,0,6,0,1,3,0.33,2,3,5,2,0,0,5,5,11,-5.8,Kobe Bryant,Regular Season
1999-02-25,LAL,Away,LAC,W,1,25:00,2,6,0.33,0,1,0,3,4,0.75,1,5,6,2,1,0,2,1,7,5.4,Kobe Bryant,Regular Season
1999-02-28,LAL,Home,HOU,W,1,40:00,8,20,0.4,0,2,0,2,2,1,0,5,5,3,1,1,4,2,18,7.7,Kobe Bryant,Regular Season
1999-03-01,LAL,Away,PHO,W,1,27:00,3,11,0.27,0,1,0,4,5,0.8,1,3,4,2,1,1,3,5,10,2.8,Kobe Bryant,Regular Season
1999-03-07,LAL,Away,UTA,W,1,38:00,7,16,0.44,0,2,0,10,13,0.77,2,2,4,1,0,1,5,5,24,10.8,Kobe Bryant,Regular Season
1999-03-14,LAL,Away,SAC,L,1,43:00,11,19,0.58,1,6,0.17,6,6,1,2,8,10,4,2,0,6,1,29,22.3,Kobe Bryant,Regular Season
1999-03-16,LAL,Away,MIN,W,1,39:00,6,12,0.5,1,2,0.5,8,10,0.8,2,7,9,3,0,0,0,3,21,18.6,Kobe Bryant,Regular Season
1999-03-18,LAL,Away,CLE,L,1,37:00,4,12,0.33,0,1,0,6,6,1,1,3,4,5,0,0,2,5,14,8.3,Kobe Bryant,Regular Season
1999-03-19,LAL,Away,PHI,L,1,40:00,9,16,0.56,1,4,0.25,4,4,1,0,2,2,2,1,1,5,1,23,13.7,Kobe Bryant,Regular Season
1999-03-21,LAL,Away,ORL,W,1,45:00,15,24,0.62,2,2,1,6,7,0.86,0,3,3,4,2,1,4,3,38,28,Kobe Bryant,Regular Season
1999-03-24,LAL,Home,PHO,L,1,39:00,10,22,0.45,0,3,0,5,7,0.71,1,2,3,2,1,2,5,3,25,11.7,Kobe Bryant,Regular Season
1999-03-26,LAL,Home,SAC,L,1,40:00,10,17,0.59,1,1,1,5,6,0.83,0,0,0,6,2,3,2,0,26,24,Kobe Bryant,Regular Season
